jobClassification,nation,state,city,R,Python,Matlab,SQL,Stata,Minitab,SPSS,Ruby,C,Scala,Tableau,Java,Hadoop,SAS,Julia,Knime,D3,Clojure,Haskell,Lisp,Golang,Spark,Javascript,F#,Fortran,longitude,latitude
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Victoria,Melbourne,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,Australian Capital Territory,ACT,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Government & Defence,Australia,Australian Capital Territory,ACT,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Science & Technology,Australia,Australian Capital Territory,ACT,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Government & Defence,Australia,Australian Capital Territory,ACT,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,Queensland,Brisbane,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Science & Technology,Australia,Western Australia,Perth,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115.861309,31.9523123
Information & Communication Technology,Australia,Victoria,Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Western Australia,Perth,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.861309,31.9523123
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Consulting & Strategy,Australia,New South Wales,Sydney,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Marketing & Communications,Australia,New South Wales,Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Consulting & Strategy,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Western Australia,Perth,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115.861309,31.9523123
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Western Australia,Perth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.861309,31.9523123
Science & Technology,Australia,Australian Capital Territory,ACT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Northern Territories,Darwin,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A
Science & Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Consulting & Strategy,Australia,New South Wales,Sydney,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Victoria,Melbourne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Government & Defence,Australia,New South Wales,Sydney,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,Victoria,Melbourne,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,Victoria,Melbourne,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Banking & Financial Services,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,South Australia,Adelaide,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.6007456,34.9284989
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Victoria,Melbourne,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Queensland,Brisbane,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Consulting & Strategy,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Government & Defence,Australia,Victoria,Melbourne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,Queensland,Toowoomba & Darling Downs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.9506696,27.5598212
Science & Technology,Australia,New South Wales,Tamworth & North West NSW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.9320334,31.092748
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,Queensland,Brisbane,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Consulting & Strategy,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Queensland,Brisbane,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Science & Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Marketing & Communications,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Queensland,Brisbane,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Information & Communication Technology,Australia,Victoria,Melbourne,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Consulting & Strategy,Australia,Victoria,Melbourne,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Marketing & Communications,Australia,Victoria,Melbourne,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Government & Defence,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,Queensland,Brisbane,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Government & Defence,Australia,Queensland,Brisbane,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,South Australia,Adelaide,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,138.6007456,34.9284989
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Australian Capital Territory,ACT,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Australian Capital Territory,ACT,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Science & Technology,Australia,Victoria,Melbourne,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,Australian Capital Territory,ACT,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Australian Capital Territory,ACT,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Australian Capital Territory,ACT,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,Australian Capital Territory,ACT,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Queensland,Brisbane,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,Queensland,Brisbane,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Consulting & Strategy,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
